time,MAC000055_net_output_kW,MAC000203_net_output_kW,MAC000214_net_output_kW,MAC000239_net_output_kW,MAC000250_net_output_kW,MAC000676_net_output_kW,MAC000727_net_output_kW,MAC000734_net_output_kW,MAC000761_net_output_kW,MAC000792_net_output_kW,MAC000864_net_output_kW,MAC001072_net_output_kW,MAC001210_net_output_kW,MAC001238_net_output_kW,MAC001607_net_output_kW,MAC001759_net_output_kW,MAC001795_net_output_kW,MAC001799_net_output_kW,MAC001816_net_output_kW,MAC001906_net_output_kW,MAC001996_net_output_kW,MAC002205_net_output_kW,MAC002220_net_output_kW,MAC002733_net_output_kW,MAC002756_net_output_kW,MAC002877_net_output_kW,MAC003046_net_output_kW,MAC003473_net_output_kW,MAC003488_net_output_kW,MAC003490_net_output_kW,MAC003718_net_output_kW,MAC004146_net_output_kW,MAC004508_net_output_kW,MAC004619_net_output_kW,MAC004848_net_output_kW,MAC004856_net_output_kW,MAC004933_net_output_kW,MAC005219_net_output_kW,MAC005325_net_output_kW,MAC005531_net_output_kW
00:00:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:01:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:02:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:03:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:04:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:05:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:06:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:07:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:08:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:09:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:10:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:11:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:12:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:13:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:14:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:15:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:16:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:17:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:18:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:19:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:20:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:21:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:22:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:23:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:24:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:25:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:26:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:27:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
