time,MAC000055,MAC000203,MAC000214,MAC000239,MAC000250,MAC000676,MAC000727,MAC000734,MAC000761,MAC000792,MAC000864,MAC001072,MAC001210,MAC001238,MAC001607,MAC001759,MAC001795,MAC001799,MAC001816,MAC001906,MAC001996,MAC002205,MAC002220,MAC002733,MAC002756,MAC002877,MAC003046,MAC003473,MAC003488,MAC003490,MAC003718,MAC004146,MAC004508,MAC004619,MAC004848,MAC004856,MAC004933,MAC005219,MAC005325,MAC005531
00:00:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:01:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:02:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:03:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:04:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:05:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:06:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:07:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:08:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:09:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:10:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:11:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:12:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:13:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:14:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:15:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:16:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:17:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:18:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:19:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:20:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:21:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:22:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:23:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:24:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:25:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:26:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:27:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:28:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
00:29:00,0.206,0.188,0.084,0.226,0.522,0.134,0.344,0.216,0.77,0.452,0.318,0.3,0.102,0.048,0.218,0.252,0.078,0.116,0.184,0.14,0.392,0.132,0.206,0.136,0.118,0.212,0.282,0.196,0.39,0.084,0.214,0.31,0.096,0.168,0.11,0.402,0.524,1.436,0.474,0.238
