time,MAC000028_net_output_kW,MAC000041_net_output_kW,MAC000058_net_output_kW,MAC000089_net_output_kW,MAC000095_net_output_kW,MAC000126_net_output_kW,MAC000143_net_output_kW,MAC000144_net_output_kW,MAC000148_net_output_kW,MAC000172_net_output_kW,MAC000176_net_output_kW,MAC000182_net_output_kW,MAC000200_net_output_kW,MAC000240_net_output_kW,MAC000258_net_output_kW,MAC000268_net_output_kW,MAC004457_net_output_kW,MAC004490_net_output_kW,MAC004496_net_output_kW,MAC004521_net_output_kW,MAC004528_net_output_kW,MAC004540_net_output_kW,MAC004550_net_output_kW,MAC004553_net_output_kW,MAC004862_net_output_kW,MAC004874_net_output_kW,MAC004918_net_output_kW,MAC004998_net_output_kW,MAC005000_net_output_kW,MAC005016_net_output_kW,MAC005024_net_output_kW,MAC005025_net_output_kW,MAC005193_net_output_kW,MAC005227_net_output_kW,MAC005229_net_output_kW,MAC005257_net_output_kW,MAC005261_net_output_kW,MAC005268_net_output_kW,MAC005270_net_output_kW,MAC005273_net_output_kW
00:00:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:01:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:02:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:03:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:04:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:05:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:06:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:07:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:08:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:09:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:10:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:11:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:12:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:13:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:14:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:15:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:16:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:17:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:18:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:19:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:20:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:21:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:22:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:23:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:24:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:25:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:26:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:27:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:28:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:29:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
00:30:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:31:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:32:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:33:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:34:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:35:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:36:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:37:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:38:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:39:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:40:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:41:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:42:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:43:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:44:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:45:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:46:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:47:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:48:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:49:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:50:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:51:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:52:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:53:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:54:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:55:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:56:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:57:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:58:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
00:59:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
01:00:00,0.14,0.122,0.082,0.09,0.17,0.174,0.174,0.058,0.282,0.102,0.222,0.114,0.024,0.186,0.052,0.226,1.176,0.408,0.17,0.16,0.57,0.418,0.12,0.308,0.154,1.104,0.098,0.128,0.446,0.166,0.096,0.064,0.182,0.144,0.048,0.05,0.242,0.784,0.164,0.334
01:01:00,0.14,0.122,0.082,0.09,0.17,0.174,0.174,0.058,0.282,0.102,0.222,0.114,0.024,0.186,0.052,0.226,1.176,0.408,0.17,0.16,0.57,0.418,0.12,0.308,0.154,1.104,0.098,0.128,0.446,0.166,0.096,0.064,0.182,0.144,0.048,0.05,0.242,0.784,0.164,0.334
01:02:00,0.14,0.122,0.082,0.09,0.17,0.174,0.174,0.058,0.282,0.102,0.222,0.114,0.024,0.186,0.052,0.226,1.176,0.408,0.17,0.16,0.57,0.418,0.12,0.308,0.154,1.104,0.098,0.128,0.446,0.166,0.096,0.064,0.182,0.144,0.048,0.05,0.242,0.784,0.164,0.334
01:03:00,0.14,0.122,0.082,0.09,0.17,0.174,0.174,0.058,0.282,0.102,0.222,0.114,0.024,0.186,0.052,0.226,1.176,0.408,0.17,0.16,0.57,0.418,0.12,0.308,0.154,1.104,0.098,0.128,0.446,0.166,0.096,0.064,0.182,0.144,0.048,0.05,0.242,0.784,0.164,0.334
01:04:00,0.14,0.122,0.082,0.09,0.17,0.174,0.174,0.058,0.282,0.102,0.222,0.114,0.024,0.186,0.052,0.226,1.176,0.408,0.17,0.16,0.57,0.418,0.12,0.308,0.154,1.104,0.098,0.128,0.446,0.166,0.096,0.064,0.182,0.144,0.048,0.05,0.242,0.784,0.164,0.334
