datetime,MAC000028,MAC000041,MAC000058,MAC000089,MAC000095,MAC000126,MAC000143,MAC000144,MAC000148,MAC000172,MAC000176,MAC000182,MAC000200,MAC000240,MAC000258,MAC000268,MAC004457,MAC004490,MAC004496,MAC004521,MAC004528,MAC004540,MAC004550,MAC004553,MAC004862,MAC004874,MAC004918,MAC004998,MAC005000,MAC005016,MAC005024,MAC005025,MAC005193,MAC005227,MAC005229,MAC005257,MAC005261,MAC005268,MAC005270,MAC005273
2012-02-11 00:00:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:01:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:02:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:03:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:04:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:05:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:06:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:07:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:08:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:09:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:10:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:11:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:12:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:13:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:14:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:15:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:16:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:17:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:18:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:19:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:20:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:21:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:22:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:23:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:24:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:25:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:26:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:27:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:28:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:29:00,0.15,0.124,0.15,0.116,0.108,0.246,0.176,0.07,0.276,0.044,0.238,0.12,0.246,0.212,0.142,0.224,0.254,0.532,0.312,0.508,0.528,0.342,0.264,0.462,0.166,0.334,0.16,0.202,0.316,0.086,0.112,0.42,0.264,0.132,0.066,0.174,0.256,0.838,0.238,0.354
2012-02-11 00:30:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
2012-02-11 00:31:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
2012-02-11 00:32:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
2012-02-11 00:33:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
2012-02-11 00:34:00,0.128,0.124,0.154,0.108,0.108,0.49,0.176,0.11,0.278,0.092,0.286,0.15,0.056,0.144,0.062,0.154,1.528,0.906,0.246,0.292,0.61,0.372,0.14,0.432,0.152,0.694,0.138,0.044,0.396,0.1,0.14,0.082,0.174,0.122,0.094,0.104,0.308,0.906,0.17,0.168
